	Label name	IoU
0	road	tensor(0.76264960, device='cuda:0')
1	drivable fallback	tensor(0.31358632, device='cuda:0')
2	sidewalk	tensor(0.00659833, device='cuda:0')
3	non-drivable fallback	tensor(0.06970883, device='cuda:0')
4	person/animal	tensor(0.02916624, device='cuda:0')
5	rider	tensor(0.10854463, device='cuda:0')
6	motorcycle	tensor(0.13631120, device='cuda:0')
7	bicycle	tensor(0., device='cuda:0')
8	autorickshaw	tensor(0.13294460, device='cuda:0')
9	car	tensor(0.22744924, device='cuda:0')
10	truck	tensor(0.09166218, device='cuda:0')
11	bus	tensor(0.01730033, device='cuda:0')
12	vehicle fallback	tensor(0.05104874, device='cuda:0')
13	curb	tensor(0.05368434, device='cuda:0')
14	wall	tensor(0.05688499, device='cuda:0')
15	fence	tensor(0.00395971, device='cuda:0')
16	guard rail	tensor(0.00887344, device='cuda:0')
17	billboard	tensor(0.02760597, device='cuda:0')
18	traffic sign	tensor(0.00033807, device='cuda:0')
19	traffic light	tensor(0., device='cuda:0')
20	pole	tensor(0.00981781, device='cuda:0')
21	obs-str-bar-fallback	tensor(0.10027187, device='cuda:0')
22	building	tensor(0.23410797, device='cuda:0')
23	bridge/tunnel	tensor(0.03128776, device='cuda:0')
24	vegetation	tensor(0.58734983, device='cuda:0')
25	sky	tensor(0.83291310, device='cuda:0')
