	Label name	IoU
0	road	tensor(0.84761953, device='cuda:0')
1	drivable fallback	tensor(0.40939531, device='cuda:0')
2	sidewalk	tensor(0.02426168, device='cuda:0')
3	non-drivable fallback	tensor(0.10409457, device='cuda:0')
4	person/animal	tensor(0.07516350, device='cuda:0')
5	rider	tensor(0.10917778, device='cuda:0')
6	motorcycle	tensor(0.18940963, device='cuda:0')
7	bicycle	tensor(0., device='cuda:0')
8	autorickshaw	tensor(0.15640177, device='cuda:0')
9	car	tensor(0.27696401, device='cuda:0')
10	truck	tensor(0.09457238, device='cuda:0')
11	bus	tensor(0.02847521, device='cuda:0')
12	vehicle fallback	tensor(0.05171153, device='cuda:0')
13	curb	tensor(0.19456697, device='cuda:0')
14	wall	tensor(0.07258336, device='cuda:0')
15	fence	tensor(0.00761279, device='cuda:0')
16	guard rail	tensor(0.03300693, device='cuda:0')
17	billboard	tensor(0.06324945, device='cuda:0')
18	traffic sign	tensor(0.00323112, device='cuda:0')
19	traffic light	tensor(0., device='cuda:0')
20	pole	tensor(0.07145798, device='cuda:0')
21	obs-str-bar-fallback	tensor(0.12407044, device='cuda:0')
22	building	tensor(0.25168413, device='cuda:0')
23	bridge/tunnel	tensor(0.03470176, device='cuda:0')
24	vegetation	tensor(0.63706464, device='cuda:0')
25	sky	tensor(0.87988073, device='cuda:0')
