	Label name	IoU
0	road	tensor(0.83531457, device='cuda:0')
1	drivable fallback	tensor(0.40608251, device='cuda:0')
2	sidewalk	tensor(0.05596629, device='cuda:0')
3	non-drivable fallback	tensor(0.14067344, device='cuda:0')
4	person/animal	tensor(0.09674671, device='cuda:0')
5	rider	tensor(0.17472851, device='cuda:0')
6	motorcycle	tensor(0.23939122, device='cuda:0')
7	bicycle	tensor(0.01906490, device='cuda:0')
8	autorickshaw	tensor(0.17731790, device='cuda:0')
9	car	tensor(0.30065027, device='cuda:0')
10	truck	tensor(0.10314400, device='cuda:0')
11	bus	tensor(0.03086482, device='cuda:0')
12	vehicle fallback	tensor(0.07294641, device='cuda:0')
13	curb	tensor(0.23703586, device='cuda:0')
14	wall	tensor(0.08582819, device='cuda:0')
15	fence	tensor(0.02638296, device='cuda:0')
16	guard rail	tensor(0.05433279, device='cuda:0')
17	billboard	tensor(0.09769195, device='cuda:0')
18	traffic sign	tensor(0.01944687, device='cuda:0')
19	traffic light	tensor(0.01350592, device='cuda:0')
20	pole	tensor(0.17587228, device='cuda:0')
21	obs-str-bar-fallback	tensor(0.14910646, device='cuda:0')
22	building	tensor(0.25647533, device='cuda:0')
23	bridge/tunnel	tensor(0.07463056, device='cuda:0')
24	vegetation	tensor(0.65683293, device='cuda:0')
25	sky	tensor(0.88520837, device='cuda:0')
