	Label name	IoU
0	road	tensor(0.8369, device='cuda:0')
1	drivable fallback	tensor(0.4039, device='cuda:0')
2	sidewalk	tensor(0.0574, device='cuda:0')
3	non-drivable fallback	tensor(0.1484, device='cuda:0')
4	person/animal	tensor(0.1005, device='cuda:0')
5	rider	tensor(0.1484, device='cuda:0')
6	motorcycle	tensor(0.2396, device='cuda:0')
7	bicycle	tensor(0.0209, device='cuda:0')
8	autorickshaw	tensor(0.1948, device='cuda:0')
9	car	tensor(0.2977, device='cuda:0')
10	truck	tensor(0.0714, device='cuda:0')
11	bus	tensor(0.0194, device='cuda:0')
12	vehicle fallback	tensor(0.0698, device='cuda:0')
13	curb	tensor(0.2436, device='cuda:0')
14	wall	tensor(0.0957, device='cuda:0')
15	fence	tensor(0.0206, device='cuda:0')
16	guard rail	tensor(0.0525, device='cuda:0')
17	billboard	tensor(0.1131, device='cuda:0')
18	traffic sign	tensor(0.0122, device='cuda:0')
19	traffic light	tensor(0.0005, device='cuda:0')
20	pole	tensor(0.1365, device='cuda:0')
21	obs-str-bar-fallback	tensor(0.1584, device='cuda:0')
22	building	tensor(0.2557, device='cuda:0')
23	bridge/tunnel	tensor(0.0700, device='cuda:0')
24	vegetation	tensor(0.6729, device='cuda:0')
25	sky	tensor(0.8972, device='cuda:0')
