	Label name	IoU
0	road	tensor(0.8308, device='cuda:0')
1	drivable fallback	tensor(0.4136, device='cuda:0')
2	sidewalk	tensor(0.0450, device='cuda:0')
3	non-drivable fallback	tensor(0.1483, device='cuda:0')
4	person/animal	tensor(0.0891, device='cuda:0')
5	rider	tensor(0.1584, device='cuda:0')
6	motorcycle	tensor(0.2158, device='cuda:0')
7	bicycle	tensor(0.0003, device='cuda:0')
8	autorickshaw	tensor(0.1830, device='cuda:0')
9	car	tensor(0.3084, device='cuda:0')
10	truck	tensor(0.1026, device='cuda:0')
11	bus	tensor(6.0492e-06, device='cuda:0')
12	vehicle fallback	tensor(0.0619, device='cuda:0')
13	curb	tensor(0.2422, device='cuda:0')
14	wall	tensor(0.0885, device='cuda:0')
15	fence	tensor(0.0016, device='cuda:0')
16	guard rail	tensor(0.0483, device='cuda:0')
17	billboard	tensor(0.1027, device='cuda:0')
18	traffic sign	tensor(0.0029, device='cuda:0')
19	traffic light	tensor(0., device='cuda:0')
20	pole	tensor(0.1298, device='cuda:0')
21	obs-str-bar-fallback	tensor(0.1613, device='cuda:0')
22	building	tensor(0.2625, device='cuda:0')
23	bridge/tunnel	tensor(0.0817, device='cuda:0')
24	vegetation	tensor(0.6672, device='cuda:0')
25	sky	tensor(0.8996, device='cuda:0')
