	Label name	IoU
0	road	tensor(0.84541243, device='cuda:0')
1	drivable fallback	tensor(0.39070639, device='cuda:0')
2	sidewalk	tensor(0.05472420, device='cuda:0')
3	non-drivable fallback	tensor(0.13704294, device='cuda:0')
4	person/animal	tensor(0.08977304, device='cuda:0')
5	rider	tensor(0.16373150, device='cuda:0')
6	motorcycle	tensor(0.22466709, device='cuda:0')
7	bicycle	tensor(0.01568699, device='cuda:0')
8	autorickshaw	tensor(0.17526154, device='cuda:0')
9	car	tensor(0.31957301, device='cuda:0')
10	truck	tensor(0.13230927, device='cuda:0')
11	bus	tensor(0.05430311, device='cuda:0')
12	vehicle fallback	tensor(0.07400383, device='cuda:0')
13	curb	tensor(0.23297352, device='cuda:0')
14	wall	tensor(0.10511013, device='cuda:0')
15	fence	tensor(0.02985361, device='cuda:0')
16	guard rail	tensor(0.05031327, device='cuda:0')
17	billboard	tensor(0.10675136, device='cuda:0')
18	traffic sign	tensor(0.02373149, device='cuda:0')
19	traffic light	tensor(0.01138779, device='cuda:0')
20	pole	tensor(0.08300373, device='cuda:0')
21	obs-str-bar-fallback	tensor(0.14860009, device='cuda:0')
22	building	tensor(0.27128050, device='cuda:0')
23	bridge/tunnel	tensor(0.08468159, device='cuda:0')
24	vegetation	tensor(0.62271184, device='cuda:0')
25	sky	tensor(0.85199875, device='cuda:0')
