	Label name	IoU
0	road	tensor(0.83860755, device='cuda:0')
1	drivable fallback	tensor(0.40546617, device='cuda:0')
2	sidewalk	tensor(0.04282339, device='cuda:0')
3	non-drivable fallback	tensor(0.17370500, device='cuda:0')
4	person/animal	tensor(0.10995159, device='cuda:0')
5	rider	tensor(0.23985405, device='cuda:0')
6	motorcycle	tensor(0.33542135, device='cuda:0')
7	bicycle	tensor(0.00106974, device='cuda:0')
8	autorickshaw	tensor(0.23675826, device='cuda:0')
9	car	tensor(0.37277466, device='cuda:0')
10	truck	tensor(0.13899730, device='cuda:0')
11	bus	tensor(0.00747926, device='cuda:0')
12	vehicle fallback	tensor(0.09120864, device='cuda:0')
13	curb	tensor(0.27721915, device='cuda:0')
14	wall	tensor(0.10193478, device='cuda:0')
15	fence	tensor(0.02785991, device='cuda:0')
16	guard rail	tensor(0.05957305, device='cuda:0')
17	billboard	tensor(0.12046130, device='cuda:0')
18	traffic sign	tensor(0.03637365, device='cuda:0')
19	traffic light	tensor(6.66933465e-06, device='cuda:0')
20	pole	tensor(0.23260377, device='cuda:0')
21	obs-str-bar-fallback	tensor(0.16530320, device='cuda:0')
22	building	tensor(0.28139210, device='cuda:0')
23	bridge/tunnel	tensor(0.03678878, device='cuda:0')
24	vegetation	tensor(0.70110267, device='cuda:0')
25	sky	tensor(0.89458054, device='cuda:0')
