	Label name	IoU
0	road	tensor(0.82395440, device='cuda:0')
1	drivable fallback	tensor(0.35819149, device='cuda:0')
2	sidewalk	tensor(0.01249369, device='cuda:0')
3	non-drivable fallback	tensor(0.08299025, device='cuda:0')
4	person/animal	tensor(0.00921245, device='cuda:0')
5	rider	tensor(0.05976380, device='cuda:0')
6	motorcycle	tensor(0.15049374, device='cuda:0')
7	bicycle	tensor(0., device='cuda:0')
8	autorickshaw	tensor(0.12548575, device='cuda:0')
9	car	tensor(0.22776166, device='cuda:0')
10	truck	tensor(0.07025383, device='cuda:0')
11	bus	tensor(0.00588203, device='cuda:0')
12	vehicle fallback	tensor(0.04751699, device='cuda:0')
13	curb	tensor(0.17220357, device='cuda:0')
14	wall	tensor(0.05893854, device='cuda:0')
15	fence	tensor(0.00065127, device='cuda:0')
16	guard rail	tensor(0.01035073, device='cuda:0')
17	billboard	tensor(0.00489646, device='cuda:0')
18	traffic sign	tensor(0., device='cuda:0')
19	traffic light	tensor(0., device='cuda:0')
20	pole	tensor(0.03390716, device='cuda:0')
21	obs-str-bar-fallback	tensor(0.09556368, device='cuda:0')
22	building	tensor(0.24042061, device='cuda:0')
23	bridge/tunnel	tensor(0.03208894, device='cuda:0')
24	vegetation	tensor(0.58418632, device='cuda:0')
25	sky	tensor(0.85341185, device='cuda:0')
