	Label name	IoU
0	road	tensor(0.79858047, device='cuda:0')
1	drivable fallback	tensor(0.33011124, device='cuda:0')
2	sidewalk	tensor(0.03906634, device='cuda:0')
3	non-drivable fallback	tensor(0.08547943, device='cuda:0')
4	person/animal	tensor(0.07073323, device='cuda:0')
5	rider	tensor(0.14208283, device='cuda:0')
6	motorcycle	tensor(0.19469914, device='cuda:0')
7	bicycle	tensor(0.01906755, device='cuda:0')
8	autorickshaw	tensor(0.15905613, device='cuda:0')
9	car	tensor(0.25526354, device='cuda:0')
10	truck	tensor(0.10155334, device='cuda:0')
11	bus	tensor(0.02612014, device='cuda:0')
12	vehicle fallback	tensor(0.05872042, device='cuda:0')
13	curb	tensor(0.10884538, device='cuda:0')
14	wall	tensor(0.07118849, device='cuda:0')
15	fence	tensor(0.01902288, device='cuda:0')
16	guard rail	tensor(0.02567752, device='cuda:0')
17	billboard	tensor(0.07679068, device='cuda:0')
18	traffic sign	tensor(0.01321143, device='cuda:0')
19	traffic light	tensor(0.01020459, device='cuda:0')
20	pole	tensor(0.09258687, device='cuda:0')
21	obs-str-bar-fallback	tensor(0.12008838, device='cuda:0')
22	building	tensor(0.23638183, device='cuda:0')
23	bridge/tunnel	tensor(0.06670682, device='cuda:0')
24	vegetation	tensor(0.59909475, device='cuda:0')
25	sky	tensor(0.85026473, device='cuda:0')
