	Label name	IoU
0	road	tensor(0.83789563, device='cuda:0')
1	drivable fallback	tensor(0.40664476, device='cuda:0')
2	sidewalk	tensor(0.03852564, device='cuda:0')
3	non-drivable fallback	tensor(0.15736812, device='cuda:0')
4	person/animal	tensor(0.11705804, device='cuda:0')
5	rider	tensor(0.24721323, device='cuda:0')
6	motorcycle	tensor(0.31323943, device='cuda:0')
7	bicycle	tensor(0., device='cuda:0')
8	autorickshaw	tensor(0.24400075, device='cuda:0')
9	car	tensor(0.36911383, device='cuda:0')
10	truck	tensor(0.12613147, device='cuda:0')
11	bus	tensor(0.00038088, device='cuda:0')
12	vehicle fallback	tensor(0.09928926, device='cuda:0')
13	curb	tensor(0.26180398, device='cuda:0')
14	wall	tensor(0.09412682, device='cuda:0')
15	fence	tensor(0.01860383, device='cuda:0')
16	guard rail	tensor(0.06093248, device='cuda:0')
17	billboard	tensor(0.13393104, device='cuda:0')
18	traffic sign	tensor(0.00942887, device='cuda:0')
19	traffic light	tensor(0., device='cuda:0')
20	pole	tensor(0.23223880, device='cuda:0')
21	obs-str-bar-fallback	tensor(0.15682079, device='cuda:0')
22	building	tensor(0.25635040, device='cuda:0')
23	bridge/tunnel	tensor(0.03707741, device='cuda:0')
24	vegetation	tensor(0.68292809, device='cuda:0')
25	sky	tensor(0.88834548, device='cuda:0')
